,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.09185738563537597,0.010268409298088896,0.003126239776611328,0.006252479553222657,5,3,5,5,100,"{'max_depth': 5, 'max_features': 3, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.3699152537816819,0.34613048494406506,0.3489321789303702,0.4353549129447818,0.281485044786397,0.3563635750774592,0.04937613904447096,710
1,0.44373364448547364,0.02431535998476012,0.016582489013671875,0.0012060336082809708,5,3,5,5,500,"{'max_depth': 5, 'max_features': 3, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 500}",0.3794137174076574,0.35375192265973177,0.35416535755712975,0.43907662932056946,0.2911698470114935,0.3635154947913164,0.047705101809881065,668
2,0.8855697631835937,0.049670277017867574,0.035668373107910156,0.005671535392896534,5,3,5,5,1000,"{'max_depth': 5, 'max_features': 3, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 1000}",0.38018097987827004,0.35778039526251704,0.35224849936778346,0.4428261714515913,0.2921685208658691,0.3650409133652062,0.04859323935932635,660
3,0.10693173408508301,0.019685652769199775,0.0070798397064208984,0.00714199818823684,5,3,5,10,100,"{'max_depth': 5, 'max_features': 3, 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.3699152537816819,0.34613048494406506,0.3489321789303702,0.4353549129447818,0.281485044786397,0.3563635750774592,0.04937613904447096,710
4,0.4664932727813721,0.027981727900962813,0.025072526931762696,0.0077164213301932376,5,3,5,10,500,"{'max_depth': 5, 'max_features': 3, 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 500}",0.3794137174076574,0.35375192265973177,0.35416535755712975,0.43907662932056946,0.2911698470114935,0.3635154947913164,0.047705101809881065,668
5,0.9440039157867431,0.041667615966273996,0.050022459030151366,0.011725643931394887,5,3,5,10,1000,"{'max_depth': 5, 'max_features': 3, 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 1000}",0.38018097987827004,0.35778039526251704,0.35224849936778346,0.4428261714515913,0.2921685208658691,0.3650409133652062,0.04859323935932635,660
6,0.0842257022857666,0.007461274584554586,0.0012156009674072266,0.0024312019348144533,5,3,5,25,100,"{'max_depth': 5, 'max_features': 3, 'min_samples_leaf': 5, 'min_samples_split': 25, 'n_estimators': 100}",0.3705541335209567,0.3490490154004342,0.3481376953870805,0.44852038456415266,0.2778354909306531,0.3588193439606554,0.054684409769849146,699
7,0.502987289428711,0.0731834708370739,0.024634361267089844,0.012794047341897843,5,3,5,25,500,"{'max_depth': 5, 'max_features': 3, 'min_samples_leaf': 5, 'min_samples_split': 25, 'n_estimators': 500}",0.3791638617016224,0.3508818395774381,0.35386984260978727,0.43968082958986765,0.28851402782892455,0.362422080261528,0.0488219617218443,675
8,0.8756696701049804,0.0540106179799365,0.03258695602416992,0.0026777271277137137,5,3,5,25,1000,"{'max_depth': 5, 'max_features': 3, 'min_samples_leaf': 5, 'min_samples_split': 25, 'n_estimators': 1000}",0.38028464176971455,0.3543067425432458,0.3518584151063655,0.44133070011234576,0.290080383455246,0.3635721765973835,0.04888721429390322,667
9,0.09763684272766113,0.02120910594316965,0.0014459609985351563,0.002891921997070312,5,3,5,50,100,"{'max_depth': 5, 'max_features': 3, 'min_samples_leaf': 5, 'min_samples_split': 50, 'n_estimators': 100}",0.36435619324750157,0.3427035227116395,0.3510001807548906,0.43944038697291454,0.2771469104229165,0.3549294388219725,0.05185749294791453,714
